chemcode	name	cas
tme	"3,4,4'-TRIAMINODIPHENYL ETHER"	6264-66-0
tri	TRIAMTERENE	396-01-0
tbe	TRIBROMOMETHANE	75-25-2
tbt	TRIBUTYL PHOSPHATE	126-73-8
tcy	TRICAPRYLIN	538-23-8
cnb	"1,2,3-TRICHLORO-4,6-DINITROBENZENE"	6379-46-0
fct	"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE, TECHNICAL GRADE"	76-13-1
tcl	TRICHLOROACETIC ACID	76-03-9
tca	"2,4,6-TRICHLOROANILINE"	634-93-5
2te	"1,1,2-TRICHLOROETHANE"	79-00-5
1te	"1,1,1-TRICHLOROETHANE, TECHNICAL GRADE"	71-55-6
tce	TRICHLOROETHYLENE	79-01-6
tcw	TRICHLOROETHYLENE (WITHOUT EPICHLOROHYDRIN)	79-01-6
fl2	TRICHLOROFLUOROMETHANE	75-69-4
ttp	N-(TRICHLOROMETHYLTHIO)PHTHALIMIDE	133-07-3
tcb	"2,4,6-TRICHLOROPHENOL"	88-06-2
trc	"2-(2,4,5-TRICHLOROPHENOXY)PROPIONIC ACID"	93-72-1
tpa	"2,4,5-TRICHLOROPHENOXYACETIC ACID"	93-76-5
tip	TRICHLOROPHONE	52-68-6
tc1	"1,2,3-TRICHLOROPROPANE"	96-18-4
tro	TRICRESYL PHOSPHATE	1330-78-5
tea	TRIETHANOLAMINE	102-71-6
trg	TRIETHYLENE GLYCOL	112-27-6
tfa	"2,2,2-TRIFLUORO-N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]ACETAMIDE"	42011-48-3
trf	"TRIFLURALIN, TECHNICAL GRADE"	1582-09-8
3md	TRIMETHADIONE	127-48-0
aa2	"(+-)-7-(3,5,6-TRIMETHYL-1,4-BENZOQUINON-2-YL)-7-PHENYLHEPTANOIC ACID"	112665-43-7
5ma	"2,4,5-TRIMETHYLANILINE"	137-17-7
5mh	"2,4,5-TRIMETHYLANILINE.HCl"	21436-97-5
6ma	"2,4,6-TRIMETHYLANILINE.HCl"	6334-11-8
tao	TRIMETHYLARSINE OXIDE	4964-14-1
tmb	"1,2,4-TRIMETHYLBENZENE"	95-63-6
tmp	TRIMETHYLPHOSPHATE	512-56-1
tmt	TRIMETHYLTHIOUREA	2489-77-2
mkx	"2,4,6-TRINITRO-1,3-DIMETHYL-5-tert-BUTYLBENZENE"	81-15-2
trn	"1,3,5-TRINITROBENZENE"	99-35-4
tng	TRINITROGLYCERIN	55-63-0
tta	TRIPHENYLTIN ACETATE	900-95-8
tpt	TRIPHENYLTIN HYDROXIDE	76-87-9
tpo	TRIPROLIDINE.HCl MONOHYDRATE	6138-79-0
tph	TRIS(2-CHLOROETHYL)PHOSPHATE	115-96-8
tpp	"TRIS-1,2,3-(CHLOROMETHOXY)PROPANE"	38571-73-2
trs	"TRIS(2,3-DIBROMOPROPYL)PHOSPHATE"	126-72-7
tdp	"TRIS-(1,3-DICHLORO-2-PROPYL)PHOSPHATE"	13674-87-8
teh	TRIS(2-ETHYLHEXYL)PHOSPHATE	78-42-2
thp	TRIS(2-HYDROXYPROPYL)AMINE	122-20-3
trd	n-TRITRIACONTANE-16-18-DIONE	24514-86-1
trp	Trp-P-1 ACETATE	75104-43-7
tpr	Trp-P-2 ACETATE	72254-58-1
dtr	dl-TRYPTOPHAN	54-12-6
try	l-TRYPTOPHAN	73-22-3
tns	"TUNGSTATE, SODIUM"	13472-45-2
cur	TURMERIC (>98% CURCUMIN)	458-37-7
tor	TURMERIC OLEORESIN (79%-85% CURCUMIN)	8024-37-1
tll	TYLOSIN LACTATE	11034-63-2
ucl	URACIL	66-22-8
urp	URAPIDIL	34661-75-1
ura	UREA	57-13-6
ure	URETHANE	51-79-6
vas	VANADYL SULFATE	27774-13-6
vgf	VANGUARD GF	mixture
vbt	VINBLASTINE	865-21-4
vac	VINYL ACETATE	108-05-4
vbr	VINYL BROMIDE	593-60-2
vcb	VINYL CARBAMATE	15805-73-9
vcl	VINYL CHLORIDE	75-01-4
vfl	VINYL FLUORIDE	75-02-5
vyt	VINYL TOLUENE (65-71% m- and 32-35% p-)	25013-15-4
4ch	4-VINYLCYCLOHEXENE	100-40-3
vdc	VINYLIDENE CHLORIDE	75-35-4
vdf	VINYLIDENE FLUORIDE	75-38-7
nvp	N-VINYLPYRROLIDONE-2	88-12-0
fv1	FD & C VIOLET NO. 1	1694-09-3
ao1	VOGLIBOSE	83480-29-9
whc	WATANIDIPINE.2HCl	133743-71-2
wsy	WINGSTAY 100	68953-84-4
xib	XIBENOLOL.HCl	15263-30-6
xhc	XYLAZINE.HCl	23076-35-9
xyl	"XYLENE MIXTURE (50.31% m-XYLENE, 26.9% o-XYLENE, 22.24% p-XYLENE)"	1330-20-7
xyn	"XYLENE MIXTURE (60% m-XYLENE, 9% o-XYLENE, 14% p-XYLENE, 17% ETHYLBENZENE)"	1330-20-7
4xl	"2,4-XYLIDINE.HCl"	21436-96-4
5xl	"2,5-XYLIDINE.HCl"	51786-53-9
dy3	C.I. DISPERSE YELLOW 3	2832-40-8
day	C.I. PIGMENT YELLOW 12	6358-85-6
y16	C.I. PIGMENT YELLOW 16	5979-28-2
y83	C.I. PIGMENT YELLOW 83	5567-15-7
yl4	C.I. VAT YELLOW 4	128-66-5
fy5	FD & C YELLOW NO. 5	1934-21-0
fy6	FD & C YELLOW NO. 6	2783-94-0
gdy	GARDENIA YELLOW	94238-00-3
hy4	HC YELLOW 4	59820-43-8
zat	ZATOSETRON MALEATE	123482-23-5
zer	ZEARALENONE	17924-92-4
zad	ZINC (II) ACETATE DIHYDRATE	5970-45-6
zbd	ZINC DIBUTYLDITHIOCARBAMATE	136-23-2
zdc	ZINC DIETHYLDITHIOCARBAMATE	14324-55-1
zdd	ZINC DIMETHYLDITHIOCARBAMATE	137-30-4
zeb	ZINC ETHYLENEBISTHIOCARBAMATE	12122-67-7
zir	ZIRCONIUM (IV) SULFATE	14644-61-2
